,100,100_200,200_350,350_500
AI,0.000338319,1.93E-04,4.74E-05,3.93E-05
AC,0.000642806,3.66E-04,9.02E-05,7.49E-05
LI,8.82E-06,8.10E-06,4.49E-06,3.73E-06
LC,1.23E-05,1.12E-05,6.24E-06,5.1823E-06
A,0.00067665,0.00038517,9.51E-05,7.89E-05
L,1.77E-05,1.61E-05,9.00E-06,7.44E-06
I,0.00039845,0.000242681,3.42857E-05,2.2501E-05
C,0.000553845,0.000337327,4.76571E-05,3.13E-05
null,0.0007969,0.000485363,6.86E-05,4.50E-05
